CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_ID,Institution_School,School_ID,Course_Name,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Areas,Teachin&Learning_Topics Covered,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Informática - programas não classificados noutra área de formação,489,Universidade do Porto,, Faculdade de Medicina,,Informática Médica,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Universidade do Porto,, Faculdade de Ciências,,Informática Médica,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Universidade de Lisboa,, Faculdade de Ciências,,Informática e Educação,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Universidade de Lisboa,, Faculdade de Ciências,,Informática e Educação,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Universidade do Porto,, Faculdade de Medicina,,Informática na Saúde,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Tomar,, Escola Superior de Tecnologia de Abrantes,,Informática na Saúde,,,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Viseu,, Escola Superior de Saúde de Viseu,,Informática para a Saúde,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico do Cávado e do Ave,, Escola Superior de Tecnologia,,Informática para a Saúde,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico do Cávado e do Ave,, Escola Superior de Tecnologia,,Informática para a Saúde,,,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Castelo Branco,, Escola Superior de Tecnologia de Castelo Branco,,Informática para a Saúde,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Castelo Branco,, Escola Superior de Tecnologia de Castelo Branco,,Informática para a Saúde,,,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Leiria,, Escola Superior de Tecnologia e Gestão,,Informática para a Saúde,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Leiria,, Escola Superior de Tecnologia e Gestão,,Informática para a Saúde,,,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico do Cávado e do Ave,, Escola Superior de Tecnologia,,Informática para a Saúde (regime pós-laboral),,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico da Guarda,, Escola Superior de Turismo e Hotelaria,,Informática para o Turismo,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Universidade da Madeira,,,,Interacção Humano-Computador,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Universidade da Madeira,, Faculdade de Ciências Exatas e da Engenharia,,Interacção Humano-Computador,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Coimbra,, Escola Superior de Educação de Coimbra,,Interação Humano-Computador (HCI: Human-Computer Interaction),,,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Universidade do Porto,, Faculdade de Economia,,"Modelação, Análise de Dados e Sistemas de Apoio à Decisão",,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Santarém,, Escola Superior de Gestão e Tecnologia de Santarém,,Redes Sociais,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,ISCTE,, Instituto Universitário de Lisboa,,Tecnologias Digitais para o Negócio,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática na Óptica do Utilizador,482,Universidade do Minho,,,,Ciências da Computação para Juristas,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática na Óptica do Utilizador,482,Universidade do Algarve,, Escola Superior de Educação e Comunicação,,Computadores no Ensino,,,,Diploma de estudos superiores especializados,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática na Óptica do Utilizador,482,Instituto Politécnico de Beja,, Escola Superior de Educação,,Informática Aplicada à Educação,,,,Diploma de estudos superiores especializados,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática na Óptica do Utilizador,482,Instituto Politécnico de Bragança,, Escola Superior de Tecnologia e de Gestão de Bragança,,Informática Aplicada à Gestão,,,,Diploma de estudos superiores especializados,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Informática na Óptica do Utilizador,482,ISCTE,, Instituto Universitário de Lisboa,,Informática Aplicada à Sociedade da Informação e do Conhecimento,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática na Óptica do Utilizador,482,Universidade do Porto,, Faculdade de Engenharia,,Métodos Computacionais em Ciências e Engenharia,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Informática na Óptica do Utilizador,482,Universidade do Porto,, Faculdade de Ciências,,Métodos Computacionais em Ciências e Engenharia,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Análise Aplicada e Optimização,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Instituto Politécnico Jean Piaget do Sul,, Escola Superior de Tecnologia e Gestão Jean Piaget,,Análise de Dados em Gestão da Informação,,,,Curso técnico superior profissional,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Aplicações da Matemática,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Aplicações da Matemática,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Internacional,,,,Ciências Matemáticas,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Trás-os-Montes e Alto Douro,,,,Ciências Matemáticas,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Trás-os-Montes e Alto Douro,, Escola de Ciências e Tecnologia,,Ciências Matemáticas,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,, Instituto de Investigação e Formação Avançada,,Ciências da Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,,,,Ciências da Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,,,,Ciências da Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade dos Açores,, Ponta Delgada,,Ciências da Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Instituto Politécnico de Viana do Castelo,, Escola Superior de Educação,,Conexões Matemáticas e a Abordagem Steam no Ensino Básico,,,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,, Faculdade de Ciências,,Engenharia Matemática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,, Faculdade de Ciências,,Engenharia Matemática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,, Faculdade de Ciências,,Estatística Computacional e Análise de Dados,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,, Faculdade de Ciências,,Estatística Computacional e Análise de Dados,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,, Faculdade de Belas Artes,,Geometria,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Instituto Superior D. Dinis,,,,Gestão Industrial e Inovação Tecnológica,,,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Católica Portuguesa,, Faculdade de Economia e Gestão,,Instrumentos de Análise Quantitativa para Gestão e Economia,,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Investigação Operacional,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Investigação Operacional,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Investigação Operacional,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Investigação Operacional,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Investigação Operacional,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Investigação Operacional,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Técnica de Lisboa,, Instituto Superior Técnico (Alameda),,Investigação Operacional e Engenharia de Sistemas,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade dos Açores,, Ponta Delgada,,Matemática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Beira Interior,,,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusíada,,,,Matemática,,,,Mestrado,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusíada,,,,Matemática,,,,Doutoramento,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusíada,,,,Matemática,,,,Doutoramento 3.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Beira Interior,,,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Beira Interior,,,,Matemática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Beira Interior,,,,Matemática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Beira Interior,,,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Católica Portuguesa,, Escola Superior de Ciências e Tecnologia (Viseu),,Matemática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Católica Portuguesa,, Centro Regional das Beiras,,Matemática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade dos Açores,, Ponta Delgada,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,,,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,, Faculdade de Ciências,,Matemática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Instituto Superior Técnico,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,,,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade dos Açores,, Ponta Delgada,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade dos Açores,, Ponta Delgada,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,,,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,, Instituto de Investigação e Formação Avançada,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,, Instituto de Investigação e Formação Avançada,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Algarve,,,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Algarve,,,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Instituto Superior de Matemática e Gestão de Lisboa,,,,Matemática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Instituto Superior de Estudos Interculturais e Transdisciplinares de Almada,,,,Matemática,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,,,,Matemática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Trás-os-Montes e Alto Douro,, Escola de Ciências e Tecnologia,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,,,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Trás-os-Montes e Alto Douro,,,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Trás-os-Montes e Alto Douro,,,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,,,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade dos Açores,, Ponta Delgada,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,,,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,,,,Matemática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,, Faculdade de Ciências,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusófona de Humanidades e Tecnologias,,,,Matemática,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusófona de Humanidades e Tecnologias,,,,Matemática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Aveiro,,,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,, Faculdade de Ciências,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade dos Açores,,,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,, Faculdade de Ciências,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusófona de Humanidades e Tecnologias,,,,Matemática,,,,Doutoramento 3.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Aveiro,,,,Matemática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Portucalense Infante D. Henrique,,,,Matemática,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Aveiro,,,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Portucalense Infante D. Henrique,,,,Matemática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Portucalense Infante D. Henrique,,,,Matemática,,,,Doutoramento,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Aveiro,,,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusíada,,,,Matemática,,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Aveiro,,,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,, Faculdade de Ciências,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,,,,Matemática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Nova de Lisboa,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Nova de Lisboa,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,,,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Nova de Lisboa,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,,,,Matemática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,,,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Algarve,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Algarve,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Algarve,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Aberta,,,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,, Faculdade de Ciências Exatas e da Engenharia,,Matemática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,, Faculdade de Ciências Exatas e da Engenharia,,Matemática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Técnica de Lisboa,, Instituto Superior Técnico (Alameda),,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,, Faculdade de Ciências Exatas e da Engenharia,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Algarve,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Técnica de Lisboa,, Instituto Superior Técnico (Alameda),,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,,,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Nova de Lisboa,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,,,,Matemática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Nova de Lisboa,, Faculdade de Ciências e Tecnologia,,Matemática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,, Faculdade de Ciências Exatas e da Engenharia,,Matemática (ensino em Inglês),,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,,,,Matemática (ensino em Inglês),,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática (regime pós-laboral),,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática (regime pós-laboral),,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática + Matemática (ensino de),,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,, Faculdade de Ciências,,Matemática + Matemática (ensino de),,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,, Faculdade de Ciências,,Matemática - Fundamentos e Aplicações,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
