,CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_Name_ID,Institution_School,Unnamed: 5,Institution_School_ID,Course_Name,Course_Name_ID,PDC Selection,SM Selection,JA Selection,Final Selection,Unnamed: 13,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Area 1,ECTS_1,Teachin&Learning_Thematic Area 2,ECTS_2,Teachin&Learning_Thematic Area 3,ECTS_3,Teachin&Learning_Thematic Area 4,ECTS_4,Teachin&Learning_Thematic Area 5,ECTS_5,Teachin&Learning_Thematic Area 6,ECTS_6,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
214,Medicina,721,Universidade dos Açores,100,Faculdade de Ciências e Tecnologia,Universidade dos Açores - Faculdade de Ciências e Tecnologia,7091,Ciências Biomédicas,,Not sure,Not sure,,No,,,Ponta Delgada,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
215,Medicina,721,Universidade do Algarve,200,Faculdade de Medicina e Ciências Biomédicas,Universidade do Algarve - Faculdade de Medicina e Ciências Biomédicas,204,Ciências Biomédicas,,Not sure,Not sure,,No,,,Faro,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
216,Medicina,721,Universidade de Coimbra,500,Faculdade de Medicina,Universidade de Coimbra - Faculdade de Medicina,506,Ciências Biomédicas,,Not sure,Not sure,,No,,,Coimbra,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
217,Medicina,721,Universidade Católica Portuguesa,2200,Centro Regional das Beiras,Universidade Católica Portuguesa - Centro Regional das Beiras,2225,Ciências Biomédicas,,Not sure,Not sure,,No,,,Viseu,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
218,Medicina,721,Universidade de Lisboa,700,Faculdade de Medicina,Universidade de Lisboa - Faculdade de Medicina,705,Ciências Biomédicas,,Not sure,Not sure,,No,,,Lisboa,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
219,Medicina,721,Universidade do Algarve,200,,Universidade do Algarve - ,200,Ciências Biomédicas,,Not sure,Not sure,,No,,,Faro,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
220,Medicina,721,Universidade de Lisboa,700,Faculdade de Medicina,Universidade de Lisboa - Faculdade de Medicina,705,Ciências Biomédicas,,Not sure,Not sure,,No,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
221,Biologia e Bioquímica,421,Universidade do Algarve,200,,Universidade do Algarve - ,200,Ciências Biomédicas - Mecanismos de Doença,,Not sure,Not sure,,No,,,Faro,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
222,Biologia e Bioquímica,421,Universidade do Algarve,200,Faculdade de Medicina e Ciências Biomédicas,Universidade do Algarve - Faculdade de Medicina e Ciências Biomédicas,204,Ciências Biomédicas - Mecanismos de Doença,,Not sure,Not sure,,No,,,Faro,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
223,Ciências Dentárias,724,Universidade Católica Portuguesa,2200,Instituto de Ciências da Saúde (Viseu),Universidade Católica Portuguesa - Instituto de Ciências da Saúde (Viseu),2298,Ciências Biomédicas Dentárias,,Not sure,Not sure,,No,,,Porto,,Licenciatura de mestrado integrado,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
