CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_Name_ID,Institution_School,,Institution_School_ID,Course_Name,Course_Name_ID,PDC Selection,SM Selection,JA Selection,Final Selection,,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Area 1,ECTS_1,Teachin&Learning_Thematic Area 2,ECTS_2,Teachin&Learning_Thematic Area 3,ECTS_3,Teachin&Learning_Thematic Area 4,ECTS_4,Teachin&Learning_Thematic Area 5,ECTS_5,Teachin&Learning_Thematic Area 6,ECTS_6,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico do Porto,3130,Escola Superior de Saúde do Porto,Instituto Politécnico do Porto - Escola Superior de Saúde do Porto,3132,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Porto,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Escola do Serviço de Saúde Militar,7540,,Escola do Serviço de Saúde Militar - ,7540,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Lisboa,,Bacharelato,,,,Public ,Military and Security Forces Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Escola Superior de Saúde da Cruz Vermelha Portuguesa,4091,Lisboa,Escola Superior de Saúde da Cruz Vermelha Portuguesa - Lisboa,4091,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Coimbra,3060,Escola Superior de Tecnologia da Saúde de Coimbra,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra,7210,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Coimbra,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico do Porto,3130,Escola Superior de Saúde do Porto,Instituto Politécnico do Porto - Escola Superior de Saúde do Porto,3132,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Porto,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Castelo Branco,3050,Escola Superior de Saúde Dr. Lopes Dias,Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias,7020,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Castelo Branco,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Coimbra,3060,Escola Superior de Tecnologia da Saúde de Coimbra,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra,7210,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Coimbra,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Escola Superior de Saúde Egas Moniz,4106,,Escola Superior de Saúde Egas Moniz - ,4106,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Almada,,Bacharelato,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade Nova de Lisboa,900,Faculdade de Ciências Médicas,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,901,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,7220,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Lisboa,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
