CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_Name_ID,Institution_School,,Institution_School_ID,Course_Name,Course_Name_ID,PDC Selection,SM Selection,JA Selection,Final Selection,,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Area 1,ECTS_1,Teachin&Learning_Thematic Area 2,ECTS_2,Teachin&Learning_Thematic Area 3,ECTS_3,Teachin&Learning_Thematic Area 4,ECTS_4,Teachin&Learning_Thematic Area 5,ECTS_5,Teachin&Learning_Thematic Area 6,ECTS_6,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Matemática,461,Instituto Politécnico do Porto,3130,Instituto Superior de Engenharia do Porto,Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto,3135,Matemática Aplicada à Engenharia,,No,No,,No,,,Porto,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Matemática Aplicada à Engenharia,,No,No,,No,,,Aveiro,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Instituto Politécnico do Porto,3130,Instituto Superior de Engenharia do Porto,Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto,3135,Matemática Aplicada à Engenharia e às Finanças,,No,No,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,903,Matemática Aplicada à Gestão do Risco,,No,No,,No,,,Almada,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Matemática Aplicada à Tecnologia,,No,No,,No,,,Porto,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Instituto Politécnico de Lisboa,3110,Instituto Superior de Engenharia de Lisboa,Instituto Politécnico de Lisboa - Instituto Superior de Engenharia de Lisboa,3118,Matemática Aplicada à Tecnologia e à Empresa,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Técnica de Lisboa,800,Instituto Superior de Agronomia,Universidade Técnica de Lisboa - Instituto Superior de Agronomia,803,Matemática Aplicada às Ciências Biológicas,,No,No,,No,,,Lisboa,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Técnica de Lisboa,800,Instituto Superior de Agronomia,Universidade Técnica de Lisboa - Instituto Superior de Agronomia,803,Matemática Aplicada às Ciências Biológicas,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,700,Instituto Superior de Agronomia,Universidade de Lisboa - Instituto Superior de Agronomia,708,Matemática Aplicada às Ciências Biológicas,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Técnica de Lisboa,800,Instituto Superior Técnico (Alameda),Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda),807,Matemática Aplicada e Computação,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Autónoma de Lisboa Luís de Camões,2100,,Universidade Autónoma de Lisboa Luís de Camões - ,2100,Matemática Aplicada e Computação,,No,No,,No,,,Lisboa,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,700,Instituto Superior Técnico,Universidade de Lisboa - Instituto Superior Técnico,708,Matemática Aplicada e Computação,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,700,Instituto Superior Técnico,Universidade de Lisboa - Instituto Superior Técnico,708,Matemática Aplicada e Computação,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Matemática Aplicada e Computação,,No,No,,No,,,Aveiro,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Técnica de Lisboa,800,Instituto Superior Técnico (Alameda),Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda),807,Matemática Aplicada e Computação,,No,No,,No,,,Lisboa,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Matemática Aplicada e Computação + Matemática (Ensino de),,No,No,,No,,,Aveiro,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,"Matemática Aplicada, ramo de Ciência de Computadores",,No,No,No,No,,,Porto,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,903,Matemática Atuarial,,No,No,,No,,,Almada,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,1000,,Universidade do Minho - ,1000,Matemática Computacional,,No,No,No,No,,,Braga,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Algarve,200,Faculdade de Ciências e Tecnologia,Universidade do Algarve - Faculdade de Ciências e Tecnologia,203,Matemática e Aplicações,,No,No,,No,,,Faro,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Aberta,1400,,Universidade Aberta - ,1400,Matemática e Aplicações,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Técnica de Lisboa,800,Instituto Superior Técnico (Alameda),Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda),807,Matemática e Aplicações,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,700,Instituto Superior Técnico,Universidade de Lisboa - Instituto Superior Técnico,708,Matemática e Aplicações,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Técnica de Lisboa,800,Instituto Superior Técnico (Alameda),Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda),807,Matemática e Aplicações,,No,No,,No,,,Lisboa,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Matemática e Aplicações,,No,No,,No,,,Aveiro,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,600,Escola de Ciências e Tecnologia,Universidade de Évora - Escola de Ciências e Tecnologia,602,Matemática e Aplicações,,No,No,,No,,,Évora,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Matemática e Aplicações,,No,No,,No,,,Aveiro,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,600,,Universidade de Évora - ,600,Matemática e Aplicações,,No,No,,No,,,Évora,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,600,Escola de Ciências e Tecnologia,Universidade de Évora - Escola de Ciências e Tecnologia,602,Matemática e Aplicações,,No,No,,No,,,Évora,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,903,Matemática e Aplicações,,No,No,,No,,,Almada,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,600,,Universidade de Évora - ,600,Matemática e Aplicações,,No,No,,No,,,Évora,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,1000,,Universidade do Minho - ,1000,Matemática e Aplicações,,No,No,,No,,,Braga,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Beira Interior,400,,Universidade da Beira Interior - ,400,Matemática e Aplicações,,No,No,,No,,,Covilhã,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Beira Interior,400,,Universidade da Beira Interior - ,400,Matemática e Aplicações,,No,No,,No,,,Covilhã,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,1000,,Universidade do Minho - ,1000,Matemática e Aplicações (associação),,No,No,,No,,,Braga,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Matemática e Aplicações (associação),,No,No,,No,,,Porto,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências e Tecnologia,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,1203,Matemática e Aplicações (associação),,No,No,,No,,,Vila Real,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,1000,,Universidade do Minho - ,1000,Matemática e Aplicações à Mecânica,,No,No,,No,,,Braga,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,1000,,Universidade do Minho - ,1000,Matemática e Aplicações à Mecânica,,No,No,,No,,,Braga,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Évora,600,,Universidade de Évora - ,600,Matemática e Ciências da Computação,,No,No,No,No,,,Évora,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,1000,,Universidade do Minho - ,1000,Matemática e Ciências da Computação,,No,No,No,No,,,Braga,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Évora,600,Escola de Ciências e Tecnologia,Universidade de Évora - Escola de Ciências e Tecnologia,602,Matemática e Ciências da Computação,,No,No,No,No,,,Évora,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,1000,,Universidade do Minho - ,1000,Matemática e Computação,,No,No,,No,,,Braga,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Técnica de Lisboa,800,Instituto Superior de Agronomia,Universidade Técnica de Lisboa - Instituto Superior de Agronomia,803,Matemática e Estatística,,No,No,,No,,,Lisboa,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Técnica de Lisboa,800,Instituto Superior de Agronomia,Universidade Técnica de Lisboa - Instituto Superior de Agronomia,803,Matemática e Estatística,,No,No,,No,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,700,Instituto Superior de Agronomia,Universidade de Lisboa - Instituto Superior de Agronomia,708,Matemática e Estatística,,No,No,,No,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,700,Instituto Superior de Agronomia,Universidade de Lisboa - Instituto Superior de Agronomia,708,Matemática e Estatística,,No,No,,No,,,Lisboa,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,903,Matemática e suas Aplicações,,No,No,,No,,,Almada,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,1000,,Universidade do Minho - ,1000,Matemática Económica e Financeira,,No,No,,No,,,Braga,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Matemática Pura,,No,No,,No,,,Porto,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,501,Matemática Pura,,No,No,,No,,,Coimbra,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Matemática Pura,,No,No,,No,,,Porto,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Matemática Pura,,No,No,,No,,,Lisboa,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Matemática Pura,,No,No,,No,,,Lisboa,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,1300,,Universidade da Madeira - ,1300,"Matemática, Estatística e Aplicações",,No,No,,No,,,Funchal,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Madeira,1300,Faculdade de Ciências Exatas e da Engenharia,Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia,7095,"Matemática, Estatística e Aplicações",,No,No,,No,,,Funchal,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Trás-os-Montes e Alto Douro,1200,,Universidade de Trás-os-Montes e Alto Douro - ,1200,"Matemática, ramo de Matemáticas Financeiras",,No,No,,No,,,Vila Real,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Beira Interior,400,,Universidade da Beira Interior - ,400,Matemática/Informática,,No,No,,No,,,Covilhã,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade dos Açores,100,,Universidade dos Açores - ,100,Matemática/Informática,,No,No,,No,,,Ponta Delgada,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade dos Açores,100,Ponta Delgada,Universidade dos Açores - Ponta Delgada,130,Matemática/Informática,,No,No,,No,,,Ponta Delgada,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade da Beira Interior,400,,Universidade da Beira Interior - ,400,Matemática/Informática+Ensino da Matemática,,No,No,,No,,,Covilhã,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Trás-os-Montes e Alto Douro,1200,,Universidade de Trás-os-Montes e Alto Douro - ,1200,Matemáticas Aplicadas,,No,No,,No,,,Vila Real,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Autónoma de Lisboa Luís de Camões,2100,,Universidade Autónoma de Lisboa Luís de Camões - ,2100,Matemáticas Aplicadas,,No,No,,No,,,Lisboa,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusíada,2400,,Universidade Lusíada - ,2400,Matemáticas Aplicadas,,No,No,,No,,,Lisboa,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusíada,2400,,Universidade Lusíada - ,2400,Matemáticas Aplicadas,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Europeia,130,,Universidade Europeia - ,130,Matemáticas Aplicadas,,No,No,,No,,,Ponta Delgada,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusíada do Porto,2402,,Universidade Lusíada do Porto - ,2402,Matemáticas Aplicadas,,No,No,,No,,,Vila Nova De Famalicão,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusíada do Porto,2402,,Universidade Lusíada do Porto - ,2402,Matemáticas Aplicadas,,No,No,,No,,,Vila Nova De Famalicão,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Lusíada,2400,Norte - Porto,Universidade Lusíada - Norte - Porto,2400,Matemáticas Aplicadas,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Independente,2752,,Universidade Independente - ,2752,Matemáticas Aplicadas,,No,No,,No,,,Porto,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Europeia,130,,Universidade Europeia - ,130,Matemáticas Aplicadas à Gestão,,No,No,,No,,,Ponta Delgada,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,903,Materiais Avançados e Reciclagem Inovadora,,No,No,,No,,,Almada,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Escola Superior de Negócios Atlântico,4112,,Escola Superior de Negócios Atlântico - ,4112,MBA em Sistemas de Informação e e-Business,,No,No,No,No,,,Lisboa,,Especialização pós-licenciatura,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins,520,Universidade do Porto,1100,Faculdade de Engenharia,Universidade do Porto - Faculdade de Engenharia,1105,Mecânica Computacional,,No,No,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade do Algarve,200,Faculdade de Medicina e Ciências Biomédicas,Universidade do Algarve - Faculdade de Medicina e Ciências Biomédicas,204,Mecanismos de Doença e Medicina Regenerativa (associação),,No,No,,No,,,Faro,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade do Algarve,200,,Universidade do Algarve - ,200,Mecanismos de Doença e Medicina Regenerativa (associação),,No,No,,No,,,Faro,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade Nova de Lisboa,900,Faculdade de Ciências Médicas,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,901,Mecanismos de Doença e Medicina Regenerativa (associação),,No,No,,No,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Farmácia,Universidade de Lisboa - Faculdade de Farmácia,703,Medicamentos à Base de Plantas,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Farmácia,Universidade de Lisboa - Faculdade de Farmácia,703,Medicamentos à Base de Plantas,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Farmácia,Universidade de Lisboa - Faculdade de Farmácia,703,Medicamentos à Base de Plantas,,No,No,,No,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Farmácia,Universidade de Lisboa - Faculdade de Farmácia,703,Medicamentos à Base de Plantas,,No,No,,No,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Medicina,721,Universidade do Minho,1000,,Universidade do Minho - ,1000,Medicina,,Not sure,No,,No,,,Braga,,Mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Medicina,721,Universidade do Minho,1000,,Universidade do Minho - ,1000,Medicina,,Not sure,No,,No,,,Braga,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Medicina,721,Universidade de Évora,600,Escola Superior de Enfermagem de São João de Deus,Universidade de Évora - Escola Superior de Enfermagem de São João de Deus,7030,Medicina Chinesa,,No,No,,No,,,Évora,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Medicina,721,Universidade de Coimbra,500,Faculdade de Medicina,Universidade de Coimbra - Faculdade de Medicina,506,Medicina da Dor,,No,No,,No,,,Coimbra,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Medicina,721,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Medicina da Dor,,No,No,,No,,,Porto,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Medicina,721,Universidade do Porto,1100,Instituto de Ciências Biomédicas Abel Salazar,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,1109,Medicina de Catástrofe,,No,No,,No,,,Porto,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Medicina,721,Universidade do Porto,1100,Instituto de Ciências Biomédicas Abel Salazar,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,1109,Medicina de Catástrofe,,No,No,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Medicina,721,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Medicina de Emergência,,No,No,,No,,,Porto,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Dentárias,724,Universidade do Porto,1100,Faculdade de Medicina Dentária,Universidade do Porto - Faculdade de Medicina Dentária,1113,Medicina Dentária Conservadora,,No,No,,No,,,Porto,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Dentárias,724,Universidade do Porto,1100,Faculdade de Medicina Dentária,Universidade do Porto - Faculdade de Medicina Dentária,1113,Medicina Dentária Conservadora,,No,No,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Dentárias,724,Universidade do Porto,1100,Faculdade de Medicina Dentária,Universidade do Porto - Faculdade de Medicina Dentária,1113,Medicina Dentária Conservadora,,No,No,,No,,,Porto,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Dentárias,724,Universidade do Porto,1100,Faculdade de Medicina Dentária,Universidade do Porto - Faculdade de Medicina Dentária,1113,Medicina Dentária Conservadora,,No,No,,No,,,Porto,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Dentárias,724,Universidade de Lisboa,700,Faculdade de Medicina Dentária,Universidade de Lisboa - Faculdade de Medicina Dentária,6600,Medicina Dentária Generalista,,No,No,,No,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Dentárias,724,Universidade de Lisboa,700,Faculdade de Medicina Dentária,Universidade de Lisboa - Faculdade de Medicina Dentária,6600,Medicina Dentária Generalista,,No,No,,No,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Medicina,721,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Medicina Desportiva,,No,No,,No,,,Porto,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
